DateTime,FlPhase
14122,5
3416,5
4938,5
6401,5
10772,5
7168,5
5329,5
5633,5
204,0
6093,5
10519,5
14234,3
151,0
17913,0
9459,0
18244,0
968,2
15153,0
4452,0
4472,2
9341,0
1512,4
14303,0
16303,3
804,3
14352,0
742,3
16154,2
9261,3
16421,2
16649,3
991,2
956,2
775,3
15601,2
15383,3
3613,3
1154,3
16129,2
539,2
544,2
9646,1
15811,1
884,1
538,1
14276,4
852,4
1895,1
9651,1
1202,4
1878,4
1220,4
1510,4
1214,4
1548,1
17782,4
1204,4
1225,1
9650,1
1547,1
