DateTime,FlPhase
6631,5
9564,0
11033,5
16559,3
14662,0
10352,5
7035,5
16549,3
2502,5
5647,5
12835,5
823,3
270,0
6456,5
13798,5
2673,5
7262,5
12423,5
11035,5
4887,5
3945,0
5072,5
14406,0
17474,5
17973,0
16651,3
1772,3
14587,0
8652,5
14951,0
8205,5
5844,5
3733,0
18055,0
14548,0
15298,2
12718,5
11092,5
1906,2
13507,5
4805,5
16113,2
7347,5
12336,5
16886,5
16971,5
4374,0
15194,2
5415,5
11198,5
1814,3
14020,5
427,0
912,2
14471,0
17700,3
14500,0
4501,2
16295,3
1131,3
1848,3
14357,0
4163,0
14249,3
1163,3
14505,0
17575,3
4451,0
16440,2
4083,0
9541,0
16147,2
18118,0
4416,0
14250,3
4279,0
15120,0
15108,0
15153,0
4118,0
4273,0
1149,3
15214,2
359,0
17554,3
15973,3
15367,3
17689,3
16316,4
17675,3
16223,3
16736,2
1597,2
1488,3
16000,3
15756,4
17649,3
17585,3
15600,2
16444,2
16779,2
16601,3
16205,3
15734,3
1993,2
15412,3
1875,4
1143,3
918,2
16093,2
16426,2
16761,2
1236,2
1622,2
15222,2
16078,2
16378,2
16377,2
15211,2
1919,2
538,1
15232,2
15874,2
15528,2
15810,1
1874,4
15759,4
9646,1
15174,1
9651,1
1202,4
875,4
17784,4
15757,4
1203,4
9271,4
868,4
1902,1
1878,4
16714,1
870,4
1215,4
1899,1
1212,4
1205,4
1200,4
17779,4
14276,4
16716,1
872,4
3625,4
1547,1
1889,4
1208,4
16317,4
1222,1
4470,1
17783,4
9274,4
16673,4
17782,4
1223,1
1876,4
1895,1
15811,1
9648,1
15497,1
15496,1
15173,1
16715,1
9645,1
537,1
15812,1
882,1
16717,1
9649,1
1894,1
16065,1
9647,1
885,1
